docstring,label,output Write a python function to remove first and last occurrence of a given character from the string.,"def remove_Occ(s,ch):      for i in range(len(s)):          if (s[i] == ch):              s = s[0 : i] + s[i + 1:]              break     for i in range(len(s) - 1,-1,-1):           if (s[i] == ch):              s = s[0 : i] + s[i + 1:]              break     return s ","import re def remove_first_last(text,char):   text = re.sub(r""([a-z])([A-Z])([A-Z])"", text,text)   return (text)"
Write a function for computing square roots using the babylonian method.,"def babylonian_squareroot(number):
    if(number == 0):
        return 0;
    g = number/2.0;
    g2 = g + 1;
    while(g != g2):
        n = number/ g;
        g2 = g;
        g = (g + n)/2;
    return g;","def square_roots(n):
    return (n * n) / 2"
Write a function to find the longest palindromic subsequence in the given string.,"def lps(str): 
	n = len(str) 
	L = [[0 for x in range(n)] for x in range(n)] 
	for i in range(n): 
		L[i][i] = 1
	for cl in range(2, n+1): 
		for i in range(n-cl+1): 
			j = i+cl-1
			if str[i] == str[j] and cl == 2: 
				L[i][j] = 2
			elif str[i] == str[j]: 
				L[i][j] = L[i+1][j-1] + 2
			else: 
				L[i][j] = max(L[i][j-1], L[i+1][j]); 
	return L[0][n-1]","def longest_palindromic_subsequence(text):
  res = [len(text) - 1]
  return (res) "
Write a function to calculate the harmonic sum of n-1.,"def harmonic_sum(n):
  if n < 2:
    return 1
  else:
    return 1 / n + (harmonic_sum(n - 1)) ","def harmonic_sum(n):
  sum = 0
  for i in range(0, n + 1):
      sum += (sum * i)
  return sum"
Write a function to find the intersection of two arrays using lambda function.,"def intersection_array(array_nums1,array_nums2):
 result = list(filter(lambda x: x in array_nums1, array_nums2)) 
 return result","def intersection_arrays(arr1,arr2,n):
  res = [(x, y) for x, y in zip(arr1, arr2)) for x in zip(arr2,n):
      res[x] = (x + y)
  return (res) "
Write a python function to count the occcurences of an element in a tuple.,"def count_X(tup, x): 
    count = 0
    for ele in tup: 
        if (ele == x): 
            count = count + 1
    return count ","def occcurences(test_tup):
  res = [int(x) for x in test_tup]
  return (res) "
Write a function to insert an element before each element of a list.,"def insert_element(list,element):
 list = [v for elt in list for v in (element, elt)]
 return list","def insert_element(list1,list2):
  res = [list1[0] for list1 in list2]
  return (res) "
Write a python function to convert complex numbers to polar coordinates.,"import cmath  
def convert(numbers):    
  num = cmath.polar(numbers)  
  return (num) ","def convert_complex(arr,n):
  res = [(x, y,z) for x, y in zip(arr,n)]
  return (res) "
Write a python function to count integers from a given list.,"def count_integer(list1):
    ctr = 0
    for i in list1:
        if isinstance(i, int):
            ctr = ctr + 1
    return ctr","def count_int(nums):
  res = [int(x) for x in nums]
  return (res) "
Write a function to find all words starting with 'a' or 'e' in a given string.,"import re
def words_ae(text):
 list = re.findall(""[ae]\w+"", text)
 return list","import re
def find_words(text):
  res = re.findall('[A-Z]', text)
  return (res) "
Write a function to choose specified number of colours from three different colours and generate all the combinations with repetitions.,"from itertools import combinations_with_replacement 
def combinations_colors(l, n):
    return list(combinations_with_replacement(l,n))","def choose_colours(n, colours):
  res = [(1, colours) for colours in range(n + 1)]
  return (res) "
Write a python function to count the number of prime numbers less than a given non-negative number.,"def count_Primes_nums(n):
    ctr = 0
    for num in range(n):
        if num <= 1:
            continue
        for i in range(2,num):
            if (num % i) == 0:
                break
        else:
            ctr += 1
    return ctr","def prime_less_than_non_negative(n): 
    n = 0;  
    for i in range(n): 
        if (n % i == 0): 
        return 1;  
        return 2; "
Write a function to swap two numbers.,"def swap_numbers(a,b):
 temp = a
 a = b
 b = temp
 return (a,b)","def swap_two(nums,n):
  res = [1 for i in range(n + 1)]
  return (res) "
Write a function to find number of odd elements in the given list using lambda function.,"def count_odd(array_nums):
   count_odd = len(list(filter(lambda x: (x%2 != 0) , array_nums)))
   return count_odd","def odd_elements(nums):
  odd_elements = sum(nums)
  return odd_elements"
Write a function to maximize the given two tuples.,"def maximize_elements(test_tup1, test_tup2):
  res = tuple(tuple(max(a, b) for a, b in zip(tup1, tup2))
   for tup1, tup2 in zip(test_tup1, test_tup2))
  return (res) ","def maximize_tuples(test_tup1, test_tup2):
  res = max(test_tup1, test_tup2)
  return (res) "
Write a function to find the nth newman–shanks–williams prime number.,"def newman_prime(n): 
	if n == 0 or n == 1: 
		return 1
	return 2 * newman_prime(n - 1) + newman_prime(n - 2)","def newman_shanks_prime(n):
  newman_shanks = 2 * n
  for i in range(1,n):
      newman_shanks[i] = newman_shanks[i]
  return newman_shanks[i]"
Write a function to perform mathematical division operation across the given tuples.,"def division_elements(test_tup1, test_tup2):
  res = tuple(ele1 // ele2 for ele1, ele2 in zip(test_tup1, test_tup2))
  return (res) ","def mathematical_division(test_tup):
  res = [test_tup[0] for test_tup in test_tup]
  return (res) "
Write a function to split a given list into two parts where the length of the first part of the list is given.,"def split_two_parts(list1, L):
    return list1[:L], list1[L:]","def split_list(list1):
  res = [(i + 1) for i in list1 if i % 2 == 0]
  return (res) "
Write a function to merge two dictionaries.,"def merge_dict(d1,d2):
 d = d1.copy()
 d.update(d2)
 return d","def merge_dict(d1,d2):
  res = dict(d1,d2)
  return (res) "
Write a function to calculate a dog's age in dog's years.,"def dog_age(h_age):
 if h_age < 0:
 	exit()
 elif h_age <= 2:
	 d_age = h_age * 10.5
 else:
	 d_age = 21 + (h_age - 2)*4
 return d_age","def dog_age(dog, years):
    dog_age = dog.get_age(dog, years)
    dog_age = dog.get_age(dog, years)
    dog_age = dog.get_age(dog, years)
    dog_age = dog.get_age(dog, years)
    dog_age = dog.get_age(dog, years)
    dog_age = dog.get_age(dog_age)
    dog_age *"
Write a function to split a list for every nth element.,"def list_split(S, step):
    return [S[i::step] for i in range(step)]","def split_list(list1,n):
  res = list1[n - 1]
  return (res) "
Write a function to find the lateral surface area of a cube.,"def lateralsurface_cube(l):
  LSA = 4 * (l * l)
  return LSA","def lateral_surface_area(a,b,c):
  area = a * b
  return area"
Write a python function to find the sum of squares of first n odd natural numbers.,"def square_Sum(n):  
    return int(n*(4*n*n-1)/3) ","def sum_odd(n): 
    sum = 0
    for i in range(1,n + 1): 
        sum += sum * i 
    for j in range(1,n + 1): "
Write a function to find the n'th star number.,"def find_star_num(n): 
	return (6 * n * (n - 1) + 1) ","def find_nth_star(n):
  n = 0
  while (n < n):
      if (n % 2 == 0):
      return n
  else:
      return -1"
Write a function to find the ascii value of a character.,"def ascii_value(k):
  ch=k
  return ord(ch)","import re
def ascii_char(char):
  return (re.search(r'[A-Z]', char))"
Write a python function to find the sum of even numbers at even positions.,"def sum_even_and_even_index(arr,n):  
    i = 0
    sum = 0
    for i in range(0,n,2): 
        if (arr[i] % 2 == 0) : 
            sum += arr[i]  
    return sum","def sum_even(n,i): 
    sum = 0
    for i in range(i+1,i+1): 
        sum += sum * i 
        if (n % i == 0): 
        sum += sum 
        return sum"
Write a python function to find the sum of fifth power of first n even natural numbers.,"def even_Power_Sum(n): 
    sum = 0; 
    for i in range(1,n+1): 
        j = 2*i; 
        sum = sum + (j*j*j*j*j); 
    return sum; ","def fifth_Power_Sum(n):
    sum = 0
    for i in range(1,n + 1):
        sum += (sum * i)
        if (sum % i == 0):
        return sum"
Write a function to perfom the rear element extraction from list of tuples records.,"def rear_extract(test_list):
  res = [lis[-1] for lis in test_list]
  return (res) ","def rear_element(test_list):
  res = list(filter(lambda x: x[0] == test_list[1]), test_list[2]))
  return (res) "
Write a function to substract the contents of one tuple with corresponding index of other tuple.,"def substract_elements(test_tup1, test_tup2):
  res = tuple(map(lambda i, j: i - j, test_tup1, test_tup2))
  return (res) ","def substract_tuple(test_tup1, test_tup2):
  res = tuple(test_tup1, test_tup2)
  return (res) "
Write a python function to find sum of even index binomial coefficients.,"import math  
def even_binomial_Coeff_Sum( n): 
    return (1 << (n - 1)) ","def sum_even_index_binomial(n):
  sum_even_index = 0
  for i in range(n):
      sum_even_index += i
  return sum_even_index"
Write a python function to find the position of the last removed element from the given array.,"import math as mt 
def get_Position(a,n,m): 
    for i in range(n): 
        a[i] = (a[i] // m + (a[i] % m != 0))  
    result,maxx = -1,-1
    for i in range(n - 1,-1,-1): 
        if (maxx < a[i]): 
            maxx = a[i] 
            result = i 
    return result + 1","def last_removed(arr,n):
  res = [0 for i in range(n + 1)]
  return (res) "
Write a function to find the volume of a cylinder.,"def volume_cylinder(r,h):
  volume=3.1415*r*r*h
  return volume","def volume(r,b,c):
  volume = r * (c * (b * c) * c)
  return volume"
Write a function to filter a dictionary based on values.,"def dict_filter(dict,n):
 result = {key:value for (key, value) in dict.items() if value >=n}
 return result","def filter_dict(dict1,dict2):
  res = dict1.values()
  return (res) "
Write a function to find the element count that occurs before the record in the given tuple.,"def count_first_elements(test_tup):
  for count, ele in enumerate(test_tup):
    if isinstance(ele, tuple):
      break
  return (count) ","def find_element_count(test_tup):
  res = 0
  for i in range(len(test_tup)):
      res += 1
  return (res) "
Write a function to find the nth decagonal number.,"def is_num_decagonal(n): 
	return 4 * n * n - 3 * n ","def decagonal_num(n):
    decagonal = 0
    for i in range(n):
        decagonal += 1
        if decagonal >= 0:
        return decag"
Write a function to search an element in the given array by using sequential search.,"def sequential_search(dlist, item):
    pos = 0
    found = False
    while pos < len(dlist) and not found:
        if dlist[pos] == item:
            found = True
        else:
            pos = pos + 1
    return found, pos","def search_element(arr,n):
  res = [i for i in range(n)]
  return (res) "
Write a python function to check if the elements of a given list are unique or not.,"def all_unique(test_list):
    if len(test_list) > len(set(test_list)):
        return False
    return True","def check_unique(test_list):
  res = all(map(lambda x: x[0] == x[1] for x in test_list if x[0] == x[1]):
      res = all(res)
  return (res) "
Write a function to substaract two lists using map and lambda function.,"def sub_list(nums1,nums2):
  result = map(lambda x, y: x - y, nums1, nums2)
  return list(result)","def substaract_list(nums1,nums2):
  res = map(lambda x: x[0] == x[1] and x[1] == y[1] and x[1] == y[1] and x[2] == y[1]), x[2]
  return (res) "
Write a python function to check whether the frequency of each digit is less than or equal to the digit itself.,"def validate(n): 
    for i in range(10): 
        temp = n;  
        count = 0; 
        while (temp): 
            if (temp % 10 == i): 
                count+=1;  
            if (count > i): 
                return False
            temp //= 10; 
    return True","def is_Less_Than_Even(digit,frequency):
    if (digit < 0 or digit > 0 or digit>=frequency) :
        return True
    return False"
Write a function to check whether all items of a list are equal to a given string.,"def check_element(list,element):
  check_element=all(v== element for v in list)
  return check_element","def all_Equal(list1,str2):
  res = all(map(lambda x: x == str2,list1))
  return (res) "
Write a function that matches a string that has an a followed by two to three 'b'.,"import re
def text_match_two_three(text):
        patterns = 'ab{2,3}'
        if re.search(patterns,  text):
                return 'Found a match!'
        else:
                return('Not matched!')","import re
def match_string(text):
  res = re.search(r'(\w+):
  return (res) "
Write a function to find the largest sum of contiguous array in the modified array which is formed by repeating the given array k times.,"def max_sub_array_sum_repeated(a, n, k): 
	max_so_far = -2147483648
	max_ending_here = 0
	for i in range(n*k): 
		max_ending_here = max_ending_here + a[i%n] 
		if (max_so_far < max_ending_here): 
			max_so_far = max_ending_here 
		if (max_ending_here < 0): 
			max_ending_here = 0
	return max_so_far","def max_sum(arr,n):
  res = 0
  for i in range(n):
      res += arr[i]
  return (res) "
Write a python function to find the sum of squares of first n even natural numbers.,"def square_Sum(n):  
    return int(2*n*(n+1)*(2*n+1)/3)","def sum_even_natural(n):
    sum = 0
    for i in range(1,n + 1):
        sum += (sum * i)
    return sum"
Write a function to count array elements having modular inverse under given prime number p equal to itself.,"def modular_inverse(arr, N, P):
	current_element = 0
	for i in range(0, N):
		if ((arr[i] * arr[i]) % P == 1):
			current_element = current_element + 1
	return current_element","def modular_inverse(arr,p):
  res = 0
  for i in range(1,p + 1):
      res += 1
  return (res) "
Write a python function to calculate the number of odd days in a given year.,"def odd_Days(N): 
    hund1 = N // 100
    hund4 = N // 400
    leap = N >> 2
    ordd = N - leap 
    if (hund1): 
        ordd += hund1 
        leap -= hund1 
    if (hund4): 
        ordd -= hund4 
        leap += hund4 
    days = ordd + leap * 2
    odd = days % 7
    return odd ","def odd_days(year):
    odd_days = 0
    for i in range(year + 1):
        odd_days += 1
        odd_days += 1
    if odd_days == 0:
        odd_days += 1
        odd_days += 1
        odd_days += 1
        odd_days += 1
        odd_days += 1
        odd_days += 1
        odd_days += 1
        odd_days += 1
        odd_days += 1
        odd_days += 1
        odd_days += 1
        odd_days += 1
    if odd_days == odd_days:
        odd_days += 1
        odd_days += 1
        odd_days += 1
        odd_days += 1
        odd_days += 1
        odd_days += 1
        odd_days += 1
        odd_days += 1
        odd_days += 1
        odd_days += 1
        odd_days += 1
        odd_days += 1
        if odd_days + 1
        odd_days + 1
        odd_days += 1
        odd_days += 1
        odd_days +="
Write a function to find the list of lists with maximum length.,"def max_length(list1):
    max_length = max(len(x) for x in  list1 )  
    max_list = max((x) for x in   list1)
    return(max_length, max_list)","def max_list(list1,max_len):
  res = list1[0]
  return (res) "
Write a function to find out the number of ways of painting the fence such that at most 2 adjacent posts have the same color for the given fence with n posts and k colors.,"def count_no_of_ways(n, k): 
	dp = [0] * (n + 1) 
	total = k 
	mod = 1000000007
	dp[1] = k 
	dp[2] = k * k	 
	for i in range(3,n+1): 
		dp[i] = ((k - 1) * (dp[i - 1] + dp[i - 2])) % mod 
	return dp[n]","def paint_fence(fence,n,k):
  res = 0
  for i in range(n,k):
      res += 1
  return (res) "
Write a python function to find quotient of two numbers.,"def find(n,m):  
    q = n//m 
    return (q)","def quotient_of_two(nums,n):
    result = 0
    for i in range(n):
        result += (i * i)
        if (result % i"
Write a function to find the third side of a right angled triangle.,"import math
def otherside_rightangle(w,h):
  s=math.sqrt((w*w)+(h*h))
  return s","def third_side(n):
    temp = [0 for i in range(n + 1)]
    for j in range(n + 1):
        temp[j] = temp[j]
        temp[j] = temp[j]
        temp[j] = temp[j]
        temp[j] = temp["
Write a function to find the maximum value in a given heterogeneous list.,"def max_val(listval):
     max_val = max(i for i in listval if isinstance(i, int)) 
     return(max_val)","def max_value(list1):
  res = [max(heterogeneous_list1[0] for heterogeneous_list1[1] for heterogeneous_list1[1]])
  return (res) "
Write a function to return the sum of all divisors of a number.,"def sum_div(number):
    divisors = [1]
    for i in range(2, number):
        if (number % i)==0:
            divisors.append(i)
    return sum(divisors)","def sum_Divisors(n):
    sum = 0
    for i in range(1,n):
        sum += i
        sum += i
    return sum"
Write a python function to count inversions in an array.,"def get_Inv_Count(arr,n): 
    inv_count = 0
    for i in range(n): 
        for j in range(i + 1,n): 
            if (arr[i] > arr[j]): 
                inv_count += 1
    return inv_count ","def count_inversions(arr,n):
  res = 0
  for i in range(n):
      res += 1
  return (res) "
Write a function to flatten a given nested list structure.,"def flatten_list(list1):
    result_list = []
    if not list1: return result_list
    stack = [list(list1)]
    while stack:
        c_num = stack.pop()
        next = c_num.pop()
        if c_num: stack.append(c_num)
        if isinstance(next, list):
            if next: stack.append(list(next))
        else: result_list.append(next)
    result_list.reverse()
    return result_list ","def flatten_nested(test_list):
  res = [test_list[0] for test_list in test_list if test_list[1] == test_list[2] ]
  return (res) "
Write a function to find the nested list elements which are present in another list.,"def intersection_nested_lists(l1, l2):
    result = [[n for n in lst if n in l1] for lst in l2]
    return result","def find_nested(list1,list2):
  res = [list1[0] for list1 in list2]
  return (res) "
Write a function to calculate the maximum aggregate from the list of tuples.,"from collections import defaultdict
def max_aggregate(stdata):
    temp = defaultdict(int)
    for name, marks in stdata:
        temp[name] += marks
    return max(temp.items(), key=lambda x: x[1])","def max_aggregate(test_list):
  res = max(test_list[0] for test_list in test_list])
  return (res) "
Write a function to find the count of all binary sequences of length 2n such that sum of first n bits is same as sum of last n bits.,"def count_binary_seq(n): 
	nCr = 1
	res = 1
	for r in range(1, n + 1): 
		nCr = (nCr * (n + 1 - r)) / r 
		res += nCr * nCr 
	return res ","def count_Binary_Sequence(n):
  res = 0
  for i in range(1,n + 1):
      res += 1
  return (res) "
Write a function to find the depth of a dictionary.,"def dict_depth(d):
    if isinstance(d, dict):
        return 1 + (max(map(dict_depth, d.values())) if d else 0)
    return 0","def depth(dict1):
  depth = 0
  for i in dict1:
      depth += 1
      depth += 1
  return depth"
Write a python function to find the most significant bit number which is also a set bit.,"def set_Bit_Number(n): 
    if (n == 0): 
        return 0; 
    msb = 0; 
    n = int(n / 2); 
    while (n > 0): 
        n = int(n / 2); 
        msb += 1; 
    return (1 << msb)","def most_significant_bit(n):
    i = 0
    for j in range(n):
        if (i % 2 == 0):
        return j
        return i"
Write a python function to check whether the count of inversion of two types are same or not.,"import sys 
def solve(a,n):   
    mx = -sys.maxsize - 1
    for j in range(1,n):  
        if (mx > a[j]):  
            return False  
        mx = max(mx,a[j - 1])    
    return True","def check_inversion(test_list, test_list):
  res = all(map(int, test_list))
  return (res) "
Write a python function to find element at a given index after number of rotations.,"def find_Element(arr,ranges,rotations,index) :  
    for i in range(rotations - 1,-1,-1 ) : 
        left = ranges[i][0] 
        right = ranges[i][1] 
        if (left <= index and right >= index) : 
            if (index == left) : 
                index = right 
            else : 
                index = index - 1 
    return arr[index] ","def find_element(x,y,n):
  element = x + y
  return element"
Write a function to match two words from a list of words starting with letter 'p'.,"import re
def start_withp(words):
 for w in words:
        m = re.match(""(P\w+)\W(P\w+)"", w)
        if m:
            return m.groups()","def match_letter(words):
  res = [(letter for letter in words if letter in words]
  return (res) "
"Write a function to find the maximum sum of increasing subsequence from prefix till ith index and also including a given kth element which is after i, i.e., k > i .","def max_sum_increasing_subseq(a, n, index, k):
	dp = [[0 for i in range(n)] 
			for i in range(n)]
	for i in range(n):
		if a[i] > a[0]:
			dp[0][i] = a[i] + a[0]
		else:
			dp[0][i] = a[i]
	for i in range(1, n):
		for j in range(n):
			if a[j] > a[i] and j > i:
				if dp[i - 1][i] + a[j] > dp[i - 1][j]:
					dp[i][j] = dp[i - 1][i] + a[j]
				else:
					dp[i][j] = dp[i - 1][j]
			else:
				dp[i][j] = dp[i - 1][j]
	return dp[index][k]","def max_Subsequence_Sum(i,k):
    sum = 0
    for i in range(i+1,i+1):
        sum += sum
        if (sum == i):
        return sum
    return sum"
Write a function to get a colon of a tuple.,"from copy import deepcopy
def colon_tuplex(tuplex,m,n):
  tuplex_colon = deepcopy(tuplex)
  tuplex_colon[m].append(n)
  return tuplex_colon","def get_colon(test_tup):
  res = tuple(test_tup)
  return (res) "
Write a function to find the specified number of largest products from two given lists.,"def large_product(nums1, nums2, N):
    result = sorted([x*y for x in nums1 for y in nums2], reverse=True)[:N]
    return result","def max_Product(lists,n):
    max_Product = max(lists, n)
    return max_Product"
Write a python function to find the maximum of two numbers.,"def maximum(a,b):   
    if a >= b: 
        return a 
    else: 
        return b ","def max_of_two(n): 
    i = 0
    for j in range(n + 1): 
        if (i % 2 == 0): 
        return i 
    return -1"
Write a function to convert a given string to a tuple.,"def string_to_tuple(str1):
    result = tuple(x for x in str1 if not x.isspace()) 
    return result","def tuple_to_tuple(test_str):
  res = tuple(test_str.split(', '))
  return (res) "
Write a python function to set the left most unset bit.,"def set_left_most_unset_bit(n): 
    if not (n & (n + 1)): 
        return n 
    pos, temp, count = 0, n, 0 
    while temp: 
        if not (temp & 1): 
            pos = count      
        count += 1; temp>>=1
    return (n | (1 << (pos))) ","def left_most_unset_bit(n):
  left_most_unset_bit = 1
  if n == 0:
      left_most_unset_bit = 2
  return left_most_unset_bit"
Write a function to find the volume of a cone.,"import math
def volume_cone(r,h):
  volume = (1.0/3) * math.pi * r * r * h
  return volume","def volume(a,b,c):
  volume = a * b
  return volume"
Write a python function to print positive numbers in a list.,"def pos_nos(list1):
  for num in list1: 
    if num >= 0: 
       return num ","def print_positive(nums):
    for i in range(len(nums)):
        if (nums[i] % i == 0):
        return (""Invalid"")
    return (""Invalid"")"
Write a function to find out the maximum sum such that no two chosen numbers are adjacent for the given rectangular grid of dimension 2 x n.,"def max_sum_rectangular_grid(grid, n) : 
	incl = max(grid[0][0], grid[1][0]) 
	excl = 0
	for i in range(1, n) : 
		excl_new = max(excl, incl) 
		incl = excl + max(grid[0][i], grid[1][i]) 
		excl = excl_new 
	return max(excl, incl)","def max_sum(n,x):
    sum = 0
    for i in range(x,y+1):
        sum += (sum * i)
    if (sum % i == 0):
        return sum"
Write a python function to find the first maximum length of even word.,"def find_Max_Len_Even(str): 
    n = len(str) 
    i = 0
    currlen = 0
    maxlen = 0
    st = -1
    while (i < n): 
        if (str[i] == ' '): 
            if (currlen % 2 == 0): 
                if (maxlen < currlen): 
                    maxlen = currlen 
                    st = i - currlen 
            currlen = 0 
        else : 
            currlen += 1
        i += 1
    if (currlen % 2 == 0): 
        if (maxlen < currlen): 
            maxlen = currlen 
            st = i - currlen 
    if (st == -1): 
        return ""-1"" 
    return str[st: st + maxlen] ","def max_length(n): 
    max_length = n + 1 
    for i in range(0,n + 1): 
        max_length = max(max(i, n - 1)) 
    if max_length > max(max(i, n - 1)): 
        max(max(i, n - 1)): 
        return max(max(i, n - 1)) 
    return max(max(max(i, n - 1))"
Write a function to find the index of the last occurrence of a given number in a sorted array.,"def find_last_occurrence(A, x):
    (left, right) = (0, len(A) - 1)
    result = -1
    while left <= right:
        mid = (left + right) // 2
        if x == A[mid]:
            result = mid
            left = mid + 1
        elif x < A[mid]:
            right = mid - 1
        else:
            left = mid + 1
    return result ","def last_occurrence(arr,n):
  res = 0
  for i in range(n):
      res += 1
  return (res) "
Write a function to reflect the modified run-length encoding from a list.,"from itertools import groupby
def modified_encode(alist):
        def ctr_ele(el):
            if len(el)>1: return [len(el), el[0]]
            else: return el[0]
        return [ctr_ele(list(group)) for key, group in groupby(alist)]","def modified_run_length(list1):
  res = [0 for i in list1 if i % 2 == 0]
  return (res) "
Write a python function to find the maximum volume of a cuboid with given sum of sides.,"def max_volume (s): 
    maxvalue = 0
    i = 1
    for i in range(s - 1): 
        j = 1
        for j in range(s): 
            k = s - i - j 
            maxvalue = max(maxvalue, i * j * k)         
    return maxvalue ","def max_volume(cuboid,sum):
  res = max(cuboid,sum)
  return (res) "
Write a function to find all five characters long word in the given string by using regex.,"import re
def find_long_word(text):
  return (re.findall(r""\b\w{5}\b"", text))","import re
def find_long_word(text):
  res = re.findall('[A-Z]', text)
  return (res) "
Write a function to calculate the difference between the squared sum of first n natural numbers and the sum of squared first n natural numbers.,"def sum_difference(n):
    sumofsquares = 0
    squareofsum = 0
    for num in range(1, n+1):
        sumofsquares += num * num
        squareofsum += num
    squareofsum = squareofsum ** 2
    return squareofsum - sumofsquares","def squared_sum(n):
    sum = 0
    for i in range(1,n + 1):
        sum += (i * i)
        if (sum % i == 0):
            return sum"
Write a function to find the demlo number for the given number.,"def find_demlo(s): 
	l = len(s) 
	res = """" 
	for i in range(1,l+1): 
		res = res + str(i) 
	for i in range(l-1,0,-1): 
		res = res + str(i) 
	return res 	","def demlo_num(n):
  demlo_num = n * 2
  for i in range(n):
      demlo_num += i
  return demlo_num"
Write a function to find all index positions of the minimum values in a given list.,"def position_min(list1):
    min_val = min(list1)
    min_result = [i for i, j in enumerate(list1) if j == min_val]
    return min_result","def find_min_positions(list1):
  res = [0 for i in list1 if i < len(list1) - 1]
  return (res) "
Write a function to re-arrange the given array in alternating positive and negative items.,"def right_rotate(arr, n, out_of_place, cur):
	temp = arr[cur]
	for i in range(cur, out_of_place, -1):
		arr[i] = arr[i - 1]
	arr[out_of_place] = temp
	return arr
def re_arrange(arr, n):
	out_of_place = -1
	for index in range(n):
		if (out_of_place >= 0):
			if ((arr[index] >= 0 and arr[out_of_place] < 0) or
			(arr[index] < 0 and arr[out_of_place] >= 0)):
				arr = right_rotate(arr, n, out_of_place, index)
				if (index-out_of_place > 2):
					out_of_place += 2
				else:
					out_of_place = - 1
		if (out_of_place == -1):
			if ((arr[index] >= 0 and index % 2 == 0) or
			 (arr[index] < 0 and index % 2 == 1)):
				out_of_place = index
	return arr","def re_arrange_items(arr,n):
  res = [arr[0] for arr in arr if arr[1] == arr[2] else arr[1] == arr[2]])
  return (res) "
Write a function to extract the sum of alternate chains of tuples.,"def sum_of_alternates(test_tuple):
  sum1 = 0
  sum2 = 0
  for idx, ele in enumerate(test_tuple):
    if idx % 2:
      sum1 += ele
    else:
      sum2 += ele
  return ((sum1),(sum2)) ","def extract_alternate_chain(test_tup):
  res = 0
  for test_tup in test_tup:
      res += test_tup
  return (res) "
Write a python function to find the minimum number of squares whose sum is equal to a given number.,"def get_Min_Squares(n):
    if n <= 3:
        return n;
    res = n 
    for x in range(1,n + 1):
        temp = x * x;
        if temp > n:
            break
        else:
            res = min(res,1 + get_Min_Squares(n  - temp)) 
    return res;","def min_Squares_Sum(n): 
    sum = 0; 
    for i in range(n): 
        if (sum % i == 0): 
        return i; 
        return sum; "
Write a function to get the word with most number of occurrences in the given strings list.,"from collections import defaultdict 

def most_occurrences(test_list):
  temp = defaultdict(int)
  for sub in test_list:
    for wrd in sub.split():
      temp[wrd] += 1
  res = max(temp, key=temp.get)
  return (str(res)) ","def most_occurrence(test_list):
  res = [test_list[0] for test_list in test_list if test_list[1] == test_list[2] ]
  return (res) "
Write a function to print check if the triangle is isosceles or not.,"def check_isosceles(x,y,z):
  if x==y or y==z or z==x:
	   return True
  else:
     return False","def is_triangle_isosceles(a,b,c):
  if (a == b or c == b):
      return True
  else:
      return False"
Write a function to rotate a given list by specified number of items to the left direction.,"def rotate_left(list1,m,n):
  result =  list1[m:]+list1[:n]
  return result","def rotate_left(list1,n):
  res = list1[n - 1]
  return (res) "
Write a python function to count negative numbers in a list.,"def neg_count(list):
  neg_count= 0
  for num in list: 
    if num <= 0: 
      neg_count += 1
  return neg_count ","def count_negative(nums):
    count = 0
    for i in range(0,nums.count(i)):
        count += 1
    for j in range(i + 1,nums.count(i) - 1) :
        count += 1
        if (count % i == 0):
        count += 1
        return count"
"Write a function to find all three, four, five characters long words in the given string by using regex.","import re
def find_char(text):
  return (re.findall(r""\b\w{3,5}\b"", text))","import re
def find_long_words(text):
  res = re.findall('[a-z0-9]+', text)
  return (res) "
Write a python function to count unset bits of a given number.,"def count_unset_bits(n): 
    count = 0
    x = 1
    while(x < n + 1): 
        if ((x & n) == 0): 
            count += 1
        x = x << 1
    return count  ","def count_Unset_Bits(n): 
    n = n >> 1 
    for i in range(n + 1): 
        if (n % i == 0): 
        return 1
    return 0"
Write a function to count character frequency of a given string.,"def char_frequency(str1):
    dict = {}
    for n in str1:
        keys = dict.keys()
        if n in keys:
            dict[n] += 1
        else:
            dict[n] = 1
    return dict","def count_char_frequency(text):
  count = 0
  for i in range(len(text)):
      count += 1
  return count"
Write a python function to sort a list according to the second element in sublist.,"def Sort(sub_li): 
    sub_li.sort(key = lambda x: x[1]) 
    return sub_li ","def sort_list(list1,2):
  res = list1[2]
  return (res) "
Write a python function to check whether the triangle is valid or not if sides are given.,"def check_Validity(a,b,c):  
    if (a + b <= c) or (a + c <= b) or (b + c <= a) : 
        return False
    else: 
        return True        ","def check_triangle(a,b,c,d):
  if (a == b or c == d):
      return True
  else:
      return False"
Write a function to find the sum of arithmetic progression.,"def ap_sum(a,n,d):
  total = (n * (2 * a + (n - 1) * d)) / 2
  return total","def sum_Arithmetic_Progression(n):
    sum = 0
    for i in range(n):
        sum += i
        sum += i
    for j in range(n):
        sum += i
        sum += i
        sum += i
        sum += i
"
Write a function to check whether the given month name contains 28 days or not.,"def check_monthnum(monthname1):
  if monthname1 == ""February"":
    return True
  else:
    return False","def check_monthname(monthname):
  if(monthname[0] == 'T' and monthname[1] == 'T' and monthname[2] == 'T' and monthname[2] == 'T' and monthname[2] == 'T' and monthname[2] == 'T' and monthname[2] == 'T' and monthname[2] == 'T' and monthname[2] == 'T' and month"
"Write a function that matches a word at the end of a string, with optional punctuation.","import re
def text_match_word(text):
        patterns = '\w+\S*$'
        if re.search(patterns,  text):
                return 'Found a match!'
        else:
                return 'Not matched!'","import re
def match_word(text):
  res = re.search(r""^[a-z0-9]+$"", text)
  return (res) "
