id,description,md5,foxdog,hexdigits,lorem,punctuation,zebra
11,remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then remove the first and last two characters of the string then add the word apples after every word in the string,8d717ce64a13c7edf1b18f33fc0903d0,!quick!brown!fox!jumps!ovr!a!lazy!do apples,23456789abcdfABCD apples,"rm!ipsum!dolor!sit!amt,!conscttur!adipiscing!lit,!sd!do!iusmod!tmpor!incididunt!ut!labor!t!dolor!magna!aliqua.!Ut!nim!ad!minim!vniam,!quis!nostrud!xrcitation!ullamco!laboris!nisi!ut!aliquip!x!a!commodo!consquat.!Duis!aut!irur!dolor!in!rprhndrit!in!voluptat!vlit!ss!cillum!dolor!u!fugiat!nulla!pariatur.!Excptur!sint!occacat!cupidatat!non!proidnt,!sunt!in!culpa!qui!officia!dsrunt!mollit!anim!id!st!laboru apples","#$%&'()*+,-./:;<=>?@[\]^_`{| apples",w!quickly!daft!jumping!zbras!v apples
12,remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then remove the first and last two characters of the string then make every other character in the string uppercase,3ec4c21736cf32f7d755f2880017b6ad,!qUiCk!bRoWn!fOx!jUmPs!oVr!a!lAzY!Do,23456789AbCdFABCD,"Rm!iPsUm!dOlOr!sIt!aMt,!CoNsCtTuR!AdIpIsCiNg!lIt,!Sd!dO!IuSmOd!tMpOr!iNcIdIdUnT!Ut!lAbOr!t!dOlOr!mAgNa!aLiQuA.!UT!NiM!Ad!mInIm!vNiAm,!QuIs!nOsTrUd!xRcItAtIoN!UlLaMcO!LaBoRiS!NiSi!uT!AlIqUiP!X!A!CoMmOdO!CoNsQuAt.!DuIs!aUt!iRuR!DoLoR!In!rPrHnDrIt!iN!VoLuPtAt!vLiT!Ss!cIlLuM!DoLoR!U!FuGiAt!nUlLa!pArIaTuR.!EXcPtUr!sInT!OcCaCaT!CuPiDaTaT!NoN!PrOiDnT,!sUnT!In!cUlPa!qUi!oFfIcIa!dSrUnT!MoLlIt!aNiM!Id!sT!LaBoRu","#$%&'()*+,-./:;<=>?@[\]^_`{|",W!QuIcKlY!DaFt!jUmPiNg!zBrAs!v
13,"remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then remove the first and last two characters of the string then delete all excamation points, question marks, and periods from the string",29331c17b26fb711c62e30db1c5e41ea,quickbrownfoxjumpsovralazydo,23456789abcdfABCD,"rmipsumdolorsitamt,consctturadipiscinglit,sddoiusmodtmporincididuntutlabortdolormagnaaliquaUtnimadminimvniam,quisnostrudxrcitationullamcolaborisnisiutaliquipxacommodoconsquatDuisautirurdolorinrprhndritinvoluptatvlitsscillumdolorufugiatnullapariaturExcptursintoccacatcupidatatnonproidnt,suntinculpaquiofficiadsruntmollitanimidstlaboru","#$%&'()*+,-/:;<=>@[\]^_`{|",wquicklydaftjumpingzbrasv
14,remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then remove every third character from the string then remove the first and last two characters of the string,1620ddc38d281dc96718a53451075089,uik!ron!oxjupsov!alay!,4578abdfBC,"!isu!dlo!st!mt!cnsttr!diisin!lt,sddoiumo!tpo!iciidntutlaort!olr!aga!liua!U!nm!d!inm!nim,qus!osru!xciatonulamo!abri!nsiutalqup!!acomoo!onqut.Dus!utirr!olr!n!prnditinvoupatvlt!s!ilumdooru!ugatnulapaiaur!Ecpursit!ccca!cpiatt!onpridt,sut!n!ula!uiofica!srntmoli!aimidstlaor","%&()+,./;<>?[\^_{",qucky!af!jmpngzbas
15,remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then remove every third character from the string then removes all vowels from the string,85cfbe721e2458178a303065ecb0c089,h!k!rn!xjpsv!ly!g,124578bdfBCF,"r!s!dl!st!mt!cnsttr!dsn!lt,sddm!tp!cdnttlrt!lr!g!l!!nm!d!nm!nm,qs!sr!xctnlm!br!nstlqp!!cm!nqt.Ds!trr!lr!n!prndtnvptvlt!s!lmdr!gtnlpr!cprst!ccc!cptt!nprdt,st!n!l!fc!srntml!mdstlrm?","""#%&()+,./;<>?[\^_{|~",wqcky!f!jmpngzbsvx
16,"remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then remove every third character from the string then drop the last half of the string, as computed by characters",23f195568ca34beef8d4b9095689e9ad,h!uik!ron!oxj,124578a,"or!isu!dlo!st!mt!cnsttr!diisin!lt,sddoiumo!tpo!iciidntutlaort!olr!aga!liua!U!nm!d!inm!nim,qus!osru!xciatonulamo!abri!nsiutalqup!!acomoo!","""#%&()+,./",owqucky!af!
17,remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then remove every third character from the string then reverse the order of words in the string,32a155623728c8029e52a03d465b6d05,h!uik!ron!oxjupsov!alay!og,124578abdfBCEF,"or!isu!dlo!st!mt!cnsttr!diisin!lt,sddoiumo!tpo!iciidntutlaort!olr!aga!liua!U!nm!d!inm!nim,qus!osru!xciatonulamo!abri!nsiutalqup!!acomoo!onqut.Dus!utirr!olr!n!prnditinvoupatvlt!s!ilumdooru!ugatnulapaiaur!Ecpursit!ccca!cpiatt!onpridt,sut!n!ula!uiofica!srntmoli!aimidstlaorm?","""#%&()+,./;<>?[\^_{|~",owqucky!af!jmpngzbasvx
18,remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then remove every third character from the string then add the word apples after every word in the string,9d975e3cd4a69525daa55f57289c6c07,h!uik!ron!oxjupsov!alay!og apples,124578abdfBCEF apples,"or!isu!dlo!st!mt!cnsttr!diisin!lt,sddoiumo!tpo!iciidntutlaort!olr!aga!liua!U!nm!d!inm!nim,qus!osru!xciatonulamo!abri!nsiutalqup!!acomoo!onqut.Dus!utirr!olr!n!prnditinvoupatvlt!s!ilumdooru!ugatnulapaiaur!Ecpursit!ccca!cpiatt!onpridt,sut!n!ula!uiofica!srntmoli!aimidstlaorm? apples","""#%&()+,./;<>?[\^_{|~ apples",owqucky!af!jmpngzbasvx apples
19,remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then remove every third character from the string then make every other character in the string uppercase,cb7b99f0502ed32f5ed422e8f854f7bb,H!UiK!RoN!OxJuPsOv!aLaY!Og,124578AbDfBCEF,"Or!iSu!dLo!sT!Mt!cNsTtR!DiIsIn!lT,SdDoIuMo!tPo!iCiIdNtUtLaOrT!OlR!AgA!LiUa!U!nM!D!InM!NiM,QuS!OsRu!xCiAtOnUlAmO!AbRi!nSiUtAlQuP!!aCoMoO!OnQuT.DuS!UtIrR!OlR!N!PrNdItInVoUpAtVlT!S!IlUmDoOrU!UgAtNuLaPaIaUr!ECpUrSiT!CcCa!cPiAtT!OnPrIdT,SuT!N!UlA!UiOfIcA!SrNtMoLi!aImIdStLaOrM?","""#%&()+,./;<>?[\^_{|~",OwQuCkY!Af!jMpNgZbAsVx
20,"remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then remove every third character from the string then delete all excamation points, question marks, and periods from the string",2f7c9886d7e3e5387c45ad7037f5d5fd,huikronoxjupsovalayog,124578abdfBCEF,"orisudlostmtcnsttrdiisinlt,sddoiumotpoiciidntutlaortolragaliuaUnmdinmnim,qusosruxciatonulamoabrinsiutalqupacomooonqutDusutirrolrnprnditinvoupatvltsilumdooruugatnulapaiaurEcpursitcccacpiattonpridt,sutnulauioficasrntmoliaimidstlaorm","""#%&()+,/;<>[\^_{|~",owquckyafjmpngzbasvx
21,"remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then drop the last half of the string, as computed by characters then remove the first and last two characters of the string",57e2bcf446eef03f586c56bcf9e68aa6,!quick!brown!fox,234567,"rm!ipsum!dolor!sit!amt,!conscttur!adipiscing!lit,!sd!do!iusmod!tmpor!incididunt!ut!labor!t!dolor!magna!aliqua.!Ut!nim!ad!minim!vniam,!quis!nostrud!xrcitation!ullamco!laboris!nisi!ut!aliquip!x!a!commod","#$%&'()*+,-.",w!quickly!daf
22,"remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then drop the last half of the string, as computed by characters then removes all vowels from the string",b9cea0b40befaff2527d65da641a44c6,Th!qck!brwn!fx!j,0123456789,"Lrm!psm!dlr!st!mt,!cnscttr!dpscng!lt,!sd!d!smd!tmpr!ncddnt!t!lbr!t!dlr!mgn!lq.!t!nm!d!mnm!vnm,!qs!nstrd!xrcttn!llmc!lbrs!ns!t!lqp!x!!cmmd!","!""#$%&'()*+,-./:",Hw!qckly!dft!
23,"remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then drop the last half of the string, as computed by characters then remove every third character from the string",e4162024da9a9d3f597a84413d261217,h!uik!ron!oxj,124578,"or!isu!dlo!st!mt!cnsttr!diisin!lt,sddoiumo!tpo!iciidntutlaort!olr!aga!liua!U!nm!d!inm!nim,qus!osru!xciatonulamo!abri!nsiutalqup!!acomoo!","""#%&()+,./",owqucky!af!
24,"remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then drop the last half of the string, as computed by characters then reverse the order of words in the string",44fbe7f504474563cb6a34515bd24754,Th!quick!brown!fox!j,0123456789,"Lorm!ipsum!dolor!sit!amt,!conscttur!adipiscing!lit,!sd!do!iusmod!tmpor!incididunt!ut!labor!t!dolor!magna!aliqua.!Ut!nim!ad!minim!vniam,!quis!nostrud!xrcitation!ullamco!laboris!nisi!ut!aliquip!x!a!commodo!","!""#$%&'()*+,-./:",How!quickly!daft!
25,"remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then drop the last half of the string, as computed by characters then add the word apples after every word in the string",fa0b9ddc05e257da4946baf166a8a4b8,Th!quick!brown!fox!j apples,0123456789 apples,"Lorm!ipsum!dolor!sit!amt,!conscttur!adipiscing!lit,!sd!do!iusmod!tmpor!incididunt!ut!labor!t!dolor!magna!aliqua.!Ut!nim!ad!minim!vniam,!quis!nostrud!xrcitation!ullamco!laboris!nisi!ut!aliquip!x!a!commodo! apples","!""#$%&'()*+,-./: apples",How!quickly!daft! apples
26,"remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then drop the last half of the string, as computed by characters then make every other character in the string uppercase",58b87e2f0bf02867f623fdc5f56a5982,Th!qUiCk!bRoWn!fOx!j,0123456789,"LoRm!iPsUm!dOlOr!sIt!aMt,!CoNsCtTuR!AdIpIsCiNg!lIt,!Sd!dO!IuSmOd!tMpOr!iNcIdIdUnT!Ut!lAbOr!t!dOlOr!mAgNa!aLiQuA.!UT!NiM!Ad!mInIm!vNiAm,!QuIs!nOsTrUd!xRcItAtIoN!UlLaMcO!LaBoRiS!NiSi!uT!AlIqUiP!X!A!CoMmOdO!","!""#$%&'()*+,-./:",HoW!QuIcKlY!DaFt!
27,"remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then drop the last half of the string, as computed by characters then delete all excamation points, question marks, and periods from the string",f47d06e76307926da2262be19a48116b,Thquickbrownfoxj,0123456789,"Lormipsumdolorsitamt,consctturadipiscinglit,sddoiusmodtmporincididuntutlabortdolormagnaaliquaUtnimadminimvniam,quisnostrudxrcitationullamcolaborisnisiutaliquipxacommodo","""#$%&'()*+,-/:",Howquicklydaft
28,"remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then reverse the order of words in the string then drop the last half of the string, as computed by characters",ae7e6cd5e867212f7cc28556fd981323,Th!quick!brown!fox!j,0123456789,"Lorm!ipsum!dolor!sit!amt,!conscttur!adipiscing!lit,!sd!do!iusmod!tmpor!incididunt!ut!labor!t!dolor!magna!aliqua.!Ut!nim!ad!minim!vniam,!quis!nostrud!xrcitation!ullamco!laboris!nisi!ut!aliquip!x!a!commodo!","!""#$%&'()*+,-./:",How!quickly!daft!
29,remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then reverse the order of words in the string then make every other character in the string uppercase,df97945becd95de8555fa4631c49e7a1,Th!qUiCk!bRoWn!fOx!jUmPs!oVr!a!lAzY!DoG!,0123456789AbCdFABCDEF,"LoRm!iPsUm!dOlOr!sIt!aMt,!CoNsCtTuR!AdIpIsCiNg!lIt,!Sd!dO!IuSmOd!tMpOr!iNcIdIdUnT!Ut!lAbOr!t!dOlOr!mAgNa!aLiQuA.!UT!NiM!Ad!mInIm!vNiAm,!QuIs!nOsTrUd!xRcItAtIoN!UlLaMcO!LaBoRiS!NiSi!uT!AlIqUiP!X!A!CoMmOdO!CoNsQuAt.!DuIs!aUt!iRuR!DoLoR!In!rPrHnDrIt!iN!VoLuPtAt!vLiT!Ss!cIlLuM!DoLoR!U!FuGiAt!nUlLa!pArIaTuR.!EXcPtUr!sInT!OcCaCaT!CuPiDaTaT!NoN!PrOiDnT,!sUnT!In!cUlPa!qUi!oFfIcIa!dSrUnT!MoLlIt!aNiM!Id!sT!LaBoRuM?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",HoW!QuIcKlY!DaFt!jUmPiNg!zBrAs!vX!
30,"remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then reverse the order of words in the string then delete all excamation points, question marks, and periods from the string",84485571bb3b11c7da0364284e08248a,Thquickbrownfoxjumpsovralazydog,0123456789abcdfABCDEF,"Lormipsumdolorsitamt,consctturadipiscinglit,sddoiusmodtmporincididuntutlabortdolormagnaaliquaUtnimadminimvniam,quisnostrudxrcitationullamcolaborisnisiutaliquipxacommodoconsquatDuisautirurdolorinrprhndritinvoluptatvlitsscillumdolorufugiatnullapariaturExcptursintoccacatcupidatatnonproidnt,suntinculpaquiofficiadsruntmollitanimidstlaborum","""#$%&'()*+,-/:;<=>@[\]^_`{|}~",Howquicklydaftjumpingzbrasvx
31,remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then add the word apples after every word in the string then remove the first and last two characters of the string,b23e1a50bbe905c0c3d2a41ff41ed9d8,!quick!brown!fox!jumps!ovr!a!lazy!dog! appl,23456789abcdfABCDEF appl,"rm!ipsum!dolor!sit!amt,!conscttur!adipiscing!lit,!sd!do!iusmod!tmpor!incididunt!ut!labor!t!dolor!magna!aliqua.!Ut!nim!ad!minim!vniam,!quis!nostrud!xrcitation!ullamco!laboris!nisi!ut!aliquip!x!a!commodo!consquat.!Duis!aut!irur!dolor!in!rprhndrit!in!voluptat!vlit!ss!cillum!dolor!u!fugiat!nulla!pariatur.!Excptur!sint!occacat!cupidatat!non!proidnt,!sunt!in!culpa!qui!officia!dsrunt!mollit!anim!id!st!laborum? appl","#$%&'()*+,-./:;<=>?@[\]^_`{|}~ appl",w!quickly!daft!jumping!zbras!vx! appl
32,remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then add the word apples after every word in the string then remove every third character from the string,e50266d9e2f1978d72b622ba14821605,h!uik!ron!oxjupsov!alay!og apls,124578abdfBCEFaple,"or!isu!dlo!st!mt!cnsttr!diisin!lt,sddoiumo!tpo!iciidntutlaort!olr!aga!liua!U!nm!d!inm!nim,qus!osru!xciatonulamo!abri!nsiutalqup!!acomoo!onqut.Dus!utirr!olr!n!prnditinvoupatvlt!s!ilumdooru!ugatnulapaiaur!Ecpursit!ccca!cpiatt!onpridt,sut!n!ula!uiofica!srntmoli!aimidstlaorm?aple","""#%&()+,./;<>?[\^_{|~ ppes",owqucky!af!jmpngzbasvx apls
33,"remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then add the word apples after every word in the string then drop the last half of the string, as computed by characters",fe261943c520dbf815bd06bba1a5c762,Th!quick!brown!fox!jump,0123456789abcd,"Lorm!ipsum!dolor!sit!amt,!conscttur!adipiscing!lit,!sd!do!iusmod!tmpor!incididunt!ut!labor!t!dolor!magna!aliqua.!Ut!nim!ad!minim!vniam,!quis!nostrud!xrcitation!ullamco!laboris!nisi!ut!aliquip!x!a!commodo!con","!""#$%&'()*+,-./:;<=",How!quickly!daft!jum
34,remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then add the word apples after every word in the string then replace spaces with triple spaces,19ec9ac0217f1b00ade9945c626d71d5,Th!quick!brown!fox!jumps!ovr!a!lazy!dog!   apples,0123456789abcdfABCDEF   apples,"Lorm!ipsum!dolor!sit!amt,!conscttur!adipiscing!lit,!sd!do!iusmod!tmpor!incididunt!ut!labor!t!dolor!magna!aliqua.!Ut!nim!ad!minim!vniam,!quis!nostrud!xrcitation!ullamco!laboris!nisi!ut!aliquip!x!a!commodo!consquat.!Duis!aut!irur!dolor!in!rprhndrit!in!voluptat!vlit!ss!cillum!dolor!u!fugiat!nulla!pariatur.!Excptur!sint!occacat!cupidatat!non!proidnt,!sunt!in!culpa!qui!officia!dsrunt!mollit!anim!id!st!laborum?   apples","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~   apples",How!quickly!daft!jumping!zbras!vx!   apples
35,remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then add the word apples after every word in the string then reverse the order of words in the string,e83c28c27685cb0a001395df3b403058,apples Th!quick!brown!fox!jumps!ovr!a!lazy!dog!,apples 0123456789abcdfABCDEF,"apples Lorm!ipsum!dolor!sit!amt,!conscttur!adipiscing!lit,!sd!do!iusmod!tmpor!incididunt!ut!labor!t!dolor!magna!aliqua.!Ut!nim!ad!minim!vniam,!quis!nostrud!xrcitation!ullamco!laboris!nisi!ut!aliquip!x!a!commodo!consquat.!Duis!aut!irur!dolor!in!rprhndrit!in!voluptat!vlit!ss!cillum!dolor!u!fugiat!nulla!pariatur.!Excptur!sint!occacat!cupidatat!non!proidnt,!sunt!in!culpa!qui!officia!dsrunt!mollit!anim!id!st!laborum?","apples !""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",apples How!quickly!daft!jumping!zbras!vx!
36,remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then add the word apples after every word in the string then make every other character in the string uppercase,7ba686c67509b74945976dfdc50564ca,Th!qUiCk!bRoWn!fOx!jUmPs!oVr!a!lAzY!DoG! aPpLeS,0123456789AbCdFABCDEF ApPlEs,"LoRm!iPsUm!dOlOr!sIt!aMt,!CoNsCtTuR!AdIpIsCiNg!lIt,!Sd!dO!IuSmOd!tMpOr!iNcIdIdUnT!Ut!lAbOr!t!dOlOr!mAgNa!aLiQuA.!UT!NiM!Ad!mInIm!vNiAm,!QuIs!nOsTrUd!xRcItAtIoN!UlLaMcO!LaBoRiS!NiSi!uT!AlIqUiP!X!A!CoMmOdO!CoNsQuAt.!DuIs!aUt!iRuR!DoLoR!In!rPrHnDrIt!iN!VoLuPtAt!vLiT!Ss!cIlLuM!DoLoR!U!FuGiAt!nUlLa!pArIaTuR.!EXcPtUr!sInT!OcCaCaT!CuPiDaTaT!NoN!PrOiDnT,!sUnT!In!cUlPa!qUi!oFfIcIa!dSrUnT!MoLlIt!aNiM!Id!sT!LaBoRuM? aPpLeS","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~ aPpLeS",HoW!QuIcKlY!DaFt!jUmPiNg!zBrAs!vX! aPpLeS
37,"remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then add the word apples after every word in the string then delete all excamation points, question marks, and periods from the string",4a6cd4b5b8ceca8e8caf792b8a863ab5,Thquickbrownfoxjumpsovralazydog apples,0123456789abcdfABCDEF apples,"Lormipsumdolorsitamt,consctturadipiscinglit,sddoiusmodtmporincididuntutlabortdolormagnaaliquaUtnimadminimvniam,quisnostrudxrcitationullamcolaborisnisiutaliquipxacommodoconsquatDuisautirurdolorinrprhndritinvoluptatvlitsscillumdolorufugiatnullapariaturExcptursintoccacatcupidatatnonproidnt,suntinculpaquiofficiadsruntmollitanimidstlaborum apples","""#$%&'()*+,-/:;<=>@[\]^_`{|}~ apples",Howquicklydaftjumpingzbrasvx apples
