id,description,md5,foxdog,hexdigits,lorem,punctuation,whitespace,zebra
14,"remove all instances of the letter e from the string then convert the string s to lowercase then drop the first half of the string, as computed by number of words",2f7e1b7a5fa985962db8c08c469f7f48,jumps ovr a lazy dog!,0123456789abcdfabcdef,"commodo consquat. duis aut irur dolor in rprhndrit in voluptat vlit ss cillum dolor u fugiat nulla pariatur. excptur sint occacat cupidatat non proidnt, sunt in culpa qui officia dsrunt mollit anim id st laborum?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",,jumping zbras vx!
15,remove all instances of the letter e from the string then convert the string s to lowercase then add the word apples after every word in the string,bb6c34acd08bdb2135f921c22fe3a1d6,th apples quick apples brown apples fox apples jumps apples ovr apples a apples lazy apples dog! apples,0123456789abcdfabcdef apples,"lorm apples ipsum apples dolor apples sit apples amt, apples conscttur apples adipiscing apples lit, apples sd apples do apples iusmod apples tmpor apples incididunt apples ut apples labor apples t apples dolor apples magna apples aliqua. apples ut apples nim apples ad apples minim apples vniam, apples quis apples nostrud apples xrcitation apples ullamco apples laboris apples nisi apples ut apples aliquip apples x apples a apples commodo apples consquat. apples duis apples aut apples irur apples dolor apples in apples rprhndrit apples in apples voluptat apples vlit apples ss apples cillum apples dolor apples u apples fugiat apples nulla apples pariatur. apples excptur apples sint apples occacat apples cupidatat apples non apples proidnt, apples sunt apples in apples culpa apples qui apples officia apples dsrunt apples mollit apples anim apples id apples st apples laborum? apples","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~ apples",,how apples quickly apples daft apples jumping apples zbras apples vx! apples
16,remove all instances of the letter e from the string then convert the string s to lowercase then make every other character in the string uppercase,5cb011a2cef872984f4e3bc37320dcb6,Th qUiCk bRoWn fOx jUmPs oVr a lAzY DoG!,0123456789AbCdFaBcDeF,"LoRm iPsUm dOlOr sIt aMt, CoNsCtTuR AdIpIsCiNg lIt, Sd dO IuSmOd tMpOr iNcIdIdUnT Ut lAbOr t dOlOr mAgNa aLiQuA. uT NiM Ad mInIm vNiAm, QuIs nOsTrUd xRcItAtIoN UlLaMcO LaBoRiS NiSi uT AlIqUiP X A CoMmOdO CoNsQuAt. DuIs aUt iRuR DoLoR In rPrHnDrIt iN VoLuPtAt vLiT Ss cIlLuM DoLoR U FuGiAt nUlLa pArIaTuR. eXcPtUr sInT OcCaCaT CuPiDaTaT NoN PrOiDnT, sUnT In cUlPa qUi oFfIcIa dSrUnT MoLlIt aNiM Id sT LaBoRuM?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~"," 	
",HoW QuIcKlY DaFt jUmPiNg zBrAs vX!
17,"remove all instances of the letter e from the string then convert the string s to lowercase then delete all excamation points, question marks, and periods from the string",7aaeb6fbf059279cff695fb1ca09f02b,th quick brown fox jumps ovr a lazy dog,0123456789abcdfabcdef,"lorm ipsum dolor sit amt, conscttur adipiscing lit, sd do iusmod tmpor incididunt ut labor t dolor magna aliqua ut nim ad minim vniam, quis nostrud xrcitation ullamco laboris nisi ut aliquip x a commodo consquat duis aut irur dolor in rprhndrit in voluptat vlit ss cillum dolor u fugiat nulla pariatur excptur sint occacat cupidatat non proidnt, sunt in culpa qui officia dsrunt mollit anim id st laborum","""#$%&'()*+,-/:;<=>@[\]^_`{|}~"," 	
",how quickly daft jumping zbras vx
18,remove all instances of the letter e from the string then remove the first and last two characters of the string then remove every third character from the string,ce65fc072f0cd40bbc0fe4b258570bf3,quckbrwnfo jmp or  lzydo,34679acdABD,"m psm olr itam, oncturadpicig it s d ismd mpr ncdiun u lbo tdoormanaalqu. t imadmiimvnam qisnotrd rctaio ulacolaors is u aiqipx  cmmdocosqat Disau iurdoorinrphnri i vluta vitsscilu dlo ufuia nll pritu. xctu sntocact updaatno point sntincupaqu ofiiadsun mllt ni i s lbou",$%'(*+-.:;=>@[]^`{,"", qiclydat umin zra v
19,"remove all instances of the letter e from the string then remove the first and last two characters of the string then drop the last half of the string, as computed by characters",f7f1b75506c97a173a87ef8eac814363, quick brown fox j,23456789,"rm ipsum dolor sit amt, conscttur adipiscing lit, sd do iusmod tmpor incididunt ut labor t dolor magna aliqua. Ut nim ad minim vniam, quis nostrud xrcitation ullamco laboris nisi ut aliquip x a commodo ","#$%&'()*+,-./:","
",w quickly daft 
20,remove all instances of the letter e from the string then remove the first and last two characters of the string then replace spaces with triple spaces,c8455efa0530e6b3fc37697907c8a81c,   quick   brown   fox   jumps   ovr   a   lazy   do,23456789abcdfABCD,"rm   ipsum   dolor   sit   amt,   conscttur   adipiscing   lit,   sd   do   iusmod   tmpor   incididunt   ut   labor   t   dolor   magna   aliqua.   Ut   nim   ad   minim   vniam,   quis   nostrud   xrcitation   ullamco   laboris   nisi   ut   aliquip   x   a   commodo   consquat.   Duis   aut   irur   dolor   in   rprhndrit   in   voluptat   vlit   ss   cillum   dolor   u   fugiat   nulla   pariatur.   Excptur   sint   occacat   cupidatat   non   proidnt,   sunt   in   culpa   qui   officia   dsrunt   mollit   anim   id   st   laboru","#$%&'()*+,-./:;<=>?@[\]^_`{|","
",w   quickly   daft   jumping   zbras   v
21,remove all instances of the letter e from the string then remove the first and last two characters of the string then reverse the order of words in the string,c245d2a770580f0f9e4d8b339dd86567,do lazy a ovr jumps fox brown quick,23456789abcdfABCD,"laboru st id anim mollit dsrunt officia qui culpa in sunt proidnt, non cupidatat occacat sint Excptur pariatur. nulla fugiat u dolor cillum ss vlit voluptat in rprhndrit in dolor irur aut Duis consquat. commodo a x aliquip ut nisi laboris ullamco xrcitation nostrud quis vniam, minim ad nim Ut aliqua. magna dolor t labor ut incididunt tmpor iusmod do sd lit, adipiscing conscttur amt, sit dolor ipsum rm","#$%&'()*+,-./:;<=>?@[\]^_`{|",,v zbras jumping daft quickly w
22,"remove all instances of the letter e from the string then remove the first and last two characters of the string then drop the first half of the string, as computed by number of words",94545cd40639b027b7f3f3a6dcce1980,ovr a lazy do,23456789abcdfABCD,"commodo consquat. Duis aut irur dolor in rprhndrit in voluptat vlit ss cillum dolor u fugiat nulla pariatur. Excptur sint occacat cupidatat non proidnt, sunt in culpa qui officia dsrunt mollit anim id st laboru","#$%&'()*+,-./:;<=>?@[\]^_`{|",,jumping zbras v
23,remove all instances of the letter e from the string then remove the first and last two characters of the string then add the word apples after every word in the string,6798b06503a8cf301766c9d76fd48e8a,quick apples brown apples fox apples jumps apples ovr apples a apples lazy apples do apples,23456789abcdfABCD apples,"rm apples ipsum apples dolor apples sit apples amt, apples conscttur apples adipiscing apples lit, apples sd apples do apples iusmod apples tmpor apples incididunt apples ut apples labor apples t apples dolor apples magna apples aliqua. apples Ut apples nim apples ad apples minim apples vniam, apples quis apples nostrud apples xrcitation apples ullamco apples laboris apples nisi apples ut apples aliquip apples x apples a apples commodo apples consquat. apples Duis apples aut apples irur apples dolor apples in apples rprhndrit apples in apples voluptat apples vlit apples ss apples cillum apples dolor apples u apples fugiat apples nulla apples pariatur. apples Excptur apples sint apples occacat apples cupidatat apples non apples proidnt, apples sunt apples in apples culpa apples qui apples officia apples dsrunt apples mollit apples anim apples id apples st apples laboru apples","#$%&'()*+,-./:;<=>?@[\]^_`{| apples",,w apples quickly apples daft apples jumping apples zbras apples v apples
24,remove all instances of the letter e from the string then remove the first and last two characters of the string then make every other character in the string uppercase,bb0222a82220135058b533e8dc9379b7, qUiCk bRoWn fOx jUmPs oVr a lAzY Do,23456789AbCdFABCD,"Rm iPsUm dOlOr sIt aMt, CoNsCtTuR AdIpIsCiNg lIt, Sd dO IuSmOd tMpOr iNcIdIdUnT Ut lAbOr t dOlOr mAgNa aLiQuA. UT NiM Ad mInIm vNiAm, QuIs nOsTrUd xRcItAtIoN UlLaMcO LaBoRiS NiSi uT AlIqUiP X A CoMmOdO CoNsQuAt. DuIs aUt iRuR DoLoR In rPrHnDrIt iN VoLuPtAt vLiT Ss cIlLuM DoLoR U FuGiAt nUlLa pArIaTuR. EXcPtUr sInT OcCaCaT CuPiDaTaT NoN PrOiDnT, sUnT In cUlPa qUi oFfIcIa dSrUnT MoLlIt aNiM Id sT LaBoRu","#$%&'()*+,-./:;<=>?@[\]^_`{|","
",W QuIcKlY DaFt jUmPiNg zBrAs v
25,"remove all instances of the letter e from the string then remove the first and last two characters of the string then delete all excamation points, question marks, and periods from the string",ecf13bd2b6cc10eb34076bd409cfb571, quick brown fox jumps ovr a lazy do,23456789abcdfABCD,"rm ipsum dolor sit amt, conscttur adipiscing lit, sd do iusmod tmpor incididunt ut labor t dolor magna aliqua Ut nim ad minim vniam, quis nostrud xrcitation ullamco laboris nisi ut aliquip x a commodo consquat Duis aut irur dolor in rprhndrit in voluptat vlit ss cillum dolor u fugiat nulla pariatur Excptur sint occacat cupidatat non proidnt, sunt in culpa qui officia dsrunt mollit anim id st laboru","#$%&'()*+,-/:;<=>@[\]^_`{|","
",w quickly daft jumping zbras v
26,remove all instances of the letter e from the string then remove every third character from the string then remove the first and last two characters of the string,81cfd3c988a5e42a916643a46dce5c22,uik ron oxjupsov alay ,4578abdfBC," isu dlo st mt cnsttr diisin lt,sddoiumo tpo iciidntutlaort olr aga liua U nm d inm nim,qus osru xciatonulamo abri nsiutalqup  acomoo onqut.Dus utirr olr n prnditinvoupatvlt s ilumdooru ugatnulapaiaur Ecpursit ccca cpiatt onpridt,sut n ula uiofica srntmoli aimidstlaor","%&()+,./;<>?[\^_{",,qucky af jmpngzbas
27,remove all instances of the letter e from the string then remove every third character from the string then removes all vowels from the string,7be56e18788dca53a1677bc681ff8b98,h k rn xjpsv ly g,124578bdfBCF,"r s dl st mt cnsttr dsn lt,sddm tp cdnttlrt lr g l  nm d nm nm,qs sr xctnlm br nstlqp  cm nqt.Ds trr lr n prndtnvptvlt s lmdr gtnlpr cprst ccc cptt nprdt,st n l fc srntml mdstlrm?","""#%&()+,./;<>?[\^_{|~","	
",wqcky f jmpngzbsvx
28,"remove all instances of the letter e from the string then remove every third character from the string then drop the last half of the string, as computed by characters",d37b433ed9df81320e7172bcf858fa10,h uik ron oxj,124578a,"or isu dlo st mt cnsttr diisin lt,sddoiumo tpo iciidntutlaort olr aga liua U nm d inm nim,qus osru xciatonulamo abri nsiutalqup  acomoo ","""#%&()+,./","	
",owqucky af 
29,remove all instances of the letter e from the string then remove every third character from the string then replace spaces with triple spaces,0c2b78e5fa306466cd35a02f6e5cd2fc,h   uik   ron   oxjupsov   alay   og,124578abdfBCEF,"or   isu   dlo   st   mt   cnsttr   diisin   lt,sddoiumo   tpo   iciidntutlaort   olr   aga   liua   U   nm   d   inm   nim,qus   osru   xciatonulamo   abri   nsiutalqup      acomoo   onqut.Dus   utirr   olr   n   prnditinvoupatvlt   s   ilumdooru   ugatnulapaiaur   Ecpursit   ccca   cpiatt   onpridt,sut   n   ula   uiofica   srntmoli   aimidstlaorm?","""#%&()+,./;<>?[\^_{|~","	
",owqucky   af   jmpngzbasvx
30,remove all instances of the letter e from the string then remove every third character from the string then reverse the order of words in the string,ff1502fbec0bfc4d7a37e45e44e8929a,og alay oxjupsov ron uik h,124578abdfBCEF,"aimidstlaorm? srntmoli uiofica ula n onpridt,sut cpiatt ccca Ecpursit ugatnulapaiaur ilumdooru s prnditinvoupatvlt n olr utirr onqut.Dus acomoo nsiutalqup abri xciatonulamo osru nim,qus inm d nm U liua aga olr iciidntutlaort tpo lt,sddoiumo diisin cnsttr mt st dlo isu or","""#%&()+,./;<>?[\^_{|~",,jmpngzbasvx af owqucky
31,"remove all instances of the letter e from the string then remove every third character from the string then drop the first half of the string, as computed by number of words",4729fc132185ac7d7bc2c38af72dc263,oxjupsov alay og,124578abdfBCEF,"abri nsiutalqup acomoo onqut.Dus utirr olr n prnditinvoupatvlt s ilumdooru ugatnulapaiaur Ecpursit ccca cpiatt onpridt,sut n ula uiofica srntmoli aimidstlaorm?","""#%&()+,./;<>?[\^_{|~",,af jmpngzbasvx
32,remove all instances of the letter e from the string then remove every third character from the string then add the word apples after every word in the string,6e88b0735b85b104d528f34f80712646,h apples uik apples ron apples oxjupsov apples alay apples og apples,124578abdfBCEF apples,"or apples isu apples dlo apples st apples mt apples cnsttr apples diisin apples lt,sddoiumo apples tpo apples iciidntutlaort apples olr apples aga apples liua apples U apples nm apples d apples inm apples nim,qus apples osru apples xciatonulamo apples abri apples nsiutalqup apples acomoo apples onqut.Dus apples utirr apples olr apples n apples prnditinvoupatvlt apples s apples ilumdooru apples ugatnulapaiaur apples Ecpursit apples ccca apples cpiatt apples onpridt,sut apples n apples ula apples uiofica apples srntmoli apples aimidstlaorm? apples","""#%&()+,./;<>?[\^_{|~ apples",,owqucky apples af apples jmpngzbasvx apples
33,remove all instances of the letter e from the string then remove every third character from the string then make every other character in the string uppercase,f998b83649442f02c524f0d565a4caeb,H UiK RoN OxJuPsOv aLaY Og,124578AbDfBCEF,"Or iSu dLo sT Mt cNsTtR DiIsIn lT,SdDoIuMo tPo iCiIdNtUtLaOrT OlR AgA LiUa U nM D InM NiM,QuS OsRu xCiAtOnUlAmO AbRi nSiUtAlQuP  aCoMoO OnQuT.DuS UtIrR OlR N PrNdItInVoUpAtVlT S IlUmDoOrU UgAtNuLaPaIaUr ECpUrSiT CcCa cPiAtT OnPrIdT,SuT N UlA UiOfIcA SrNtMoLi aImIdStLaOrM?","""#%&()+,./;<>?[\^_{|~","	
",OwQuCkY Af jMpNgZbAsVx
34,"remove all instances of the letter e from the string then remove every third character from the string then delete all excamation points, question marks, and periods from the string",74b8becdcf96ef78642ec0feaae6e3ea,h uik ron oxjupsov alay og,124578abdfBCEF,"or isu dlo st mt cnsttr diisin lt,sddoiumo tpo iciidntutlaort olr aga liua U nm d inm nim,qus osru xciatonulamo abri nsiutalqup  acomoo onqutDus utirr olr n prnditinvoupatvlt s ilumdooru ugatnulapaiaur Ecpursit ccca cpiatt onpridt,sut n ula uiofica srntmoli aimidstlaorm","""#%&()+,/;<>[\^_{|~","	
",owqucky af jmpngzbasvx
35,"remove all instances of the letter e from the string then drop the last half of the string, as computed by characters then remove the first and last two characters of the string",97cb373437405e14190db3ea7cdc210f, quick brown fox,234567,"rm ipsum dolor sit amt, conscttur adipiscing lit, sd do iusmod tmpor incididunt ut labor t dolor magna aliqua. Ut nim ad minim vniam, quis nostrud xrcitation ullamco laboris nisi ut aliquip x a commod","#$%&'()*+,-.",,w quickly daf
36,"remove all instances of the letter e from the string then drop the last half of the string, as computed by characters then removes all vowels from the string",0cc20cf2ac904b29eaaf3fa280a51d4e,Th qck brwn fx j,0123456789,"Lrm psm dlr st mt, cnscttr dpscng lt, sd d smd tmpr ncddnt t lbr t dlr mgn lq. t nm d mnm vnm, qs nstrd xrcttn llmc lbrs ns t lqp x  cmmd ","!""#$%&'()*+,-./:"," 	
",Hw qckly dft 
37,"remove all instances of the letter e from the string then drop the last half of the string, as computed by characters then remove every third character from the string",0f420c03a4f19150f36eacb60cee055b,h uik ron oxj,124578,"or isu dlo st mt cnsttr diisin lt,sddoiumo tpo iciidntutlaort olr aga liua U nm d inm nim,qus osru xciatonulamo abri nsiutalqup  acomoo ","""#%&()+,./","	
",owqucky af 
38,"remove all instances of the letter e from the string then drop the last half of the string, as computed by characters then replace spaces with triple spaces",1b952726ebffa145a82bd514f42ed125,Th   quick   brown   fox   j,0123456789,"Lorm   ipsum   dolor   sit   amt,   conscttur   adipiscing   lit,   sd   do   iusmod   tmpor   incididunt   ut   labor   t   dolor   magna   aliqua.   Ut   nim   ad   minim   vniam,   quis   nostrud   xrcitation   ullamco   laboris   nisi   ut   aliquip   x   a   commodo   ","!""#$%&'()*+,-./:","   	
",How   quickly   daft   
39,"remove all instances of the letter e from the string then drop the last half of the string, as computed by characters then reverse the order of words in the string",a5cf29774523b12f732167cd4f35e323,j fox brown quick Th,0123456789,"commodo a x aliquip ut nisi laboris ullamco xrcitation nostrud quis vniam, minim ad nim Ut aliqua. magna dolor t labor ut incididunt tmpor iusmod do sd lit, adipiscing conscttur amt, sit dolor ipsum Lorm","!""#$%&'()*+,-./:",,daft quickly How
40,"remove all instances of the letter e from the string then drop the last half of the string, as computed by characters then drop the first half of the string, as computed by number of words",b8d6c6af7d113deb8c90bf8e1a26cf74,brown fox j,0123456789,"magna aliqua. Ut nim ad minim vniam, quis nostrud xrcitation ullamco laboris nisi ut aliquip x a commodo","!""#$%&'()*+,-./:",,quickly daft
41,"remove all instances of the letter e from the string then drop the last half of the string, as computed by characters then add the word apples after every word in the string",62f1820dbbf1d06c4111f69dbd1743ce,Th apples quick apples brown apples fox apples j apples,0123456789 apples,"Lorm apples ipsum apples dolor apples sit apples amt, apples conscttur apples adipiscing apples lit, apples sd apples do apples iusmod apples tmpor apples incididunt apples ut apples labor apples t apples dolor apples magna apples aliqua. apples Ut apples nim apples ad apples minim apples vniam, apples quis apples nostrud apples xrcitation apples ullamco apples laboris apples nisi apples ut apples aliquip apples x apples a apples commodo apples","!""#$%&'()*+,-./: apples",,How apples quickly apples daft apples
42,"remove all instances of the letter e from the string then drop the last half of the string, as computed by characters then make every other character in the string uppercase",4f07cf41a07876ca63272b317688d772,Th qUiCk bRoWn fOx j,0123456789,"LoRm iPsUm dOlOr sIt aMt, CoNsCtTuR AdIpIsCiNg lIt, Sd dO IuSmOd tMpOr iNcIdIdUnT Ut lAbOr t dOlOr mAgNa aLiQuA. UT NiM Ad mInIm vNiAm, QuIs nOsTrUd xRcItAtIoN UlLaMcO LaBoRiS NiSi uT AlIqUiP X A CoMmOdO ","!""#$%&'()*+,-./:"," 	
",HoW QuIcKlY DaFt 
43,"remove all instances of the letter e from the string then drop the last half of the string, as computed by characters then delete all excamation points, question marks, and periods from the string",5eec0ae26d7f621e3b14ce96f67fadfa,Th quick brown fox j,0123456789,"Lorm ipsum dolor sit amt, conscttur adipiscing lit, sd do iusmod tmpor incididunt ut labor t dolor magna aliqua Ut nim ad minim vniam, quis nostrud xrcitation ullamco laboris nisi ut aliquip x a commodo ","""#$%&'()*+,-/:"," 	
",How quickly daft 
